objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,andri1.jpg,,,Decoration in Ausgewählte Gedichte von August Kopisch,"Andri, Ferdinand",,Decorative border,,,,,"v. 13, p. 23",https://hdl.handle.net/2027/gri.ark:/13960/t69380q0q?urlappend=%3Bseq=27,Image;StillImage,image/jpeg,,Public domain,
coll003,andri3.jpg,,,Illustration in Ausgewählte Gedichte von August Kopisch,"Andri, Ferdinand",,Illustration of Der Wassermann,,,,,"v. 13, p. 30",https://hdl.handle.net/2027/gri.ark:/13960/t69380q0q?urlappend=%3Bseq=34,Image;StillImage,image/jpeg,,Public domain,
coll004,bechstein.jpg,,,Illustration in Märchen-Sammlung von Ludwig Bechstein,"Fahringer, Karl",,Illustration of Der beherzte Flötenspieler,,,,,"v. 2, p. 20",https://hdl.handle.net/2027/gri.ark:/13960/t9869998v?urlappend=%3Bseq=24,Image;StillImage,image/jpeg,,Public domain,
coll005,czeschka.jpg,,,Decoration in Die Nibelungen,"Czeschka, Carl Otto",,Decoration in Die Nibelungen,,,,,"v. 22, p. 11",https://hdl.handle.net/2027/inu.30000121051480?urlappend=%3Bseq=15,Image;StillImage,image/jpeg,,Public domain,
coll006,czeschkaship.jpg,,,Illustration in Die Nibelungen,"Czeschka, Carl Otto",,Illustration in Die Nibelungen,,,,,"v. 22, p. 30, 31",https://hdl.handle.net/2027/inu.30000121051480?urlappend=%3Bseq=34,Image;StillImage,image/jpeg,,Public domain,
coll007,endpaper1.jpg,,,Yellow endpaper,,,Yellow endpaper,,,,,,,Image;StillImage,image/jpeg,,Public domain,
coll008,endpaper2.jpg,,,Green endpaper,,,Green endpaper,,,,,,,Image;StillImage,image/jpeg,,Public domain,
coll009,frauengruber1.jpg,,,Decoration in Andersen's Märchen II,"Wacik, Franz",,Decoration in Andersen's Märchen II,,,,,"v. 25, p. 5",https://hdl.handle.net/2027/gri.ark:/13960/t26b3xf56?urlappend=%3Bseq=7,Image;StillImage,image/jpeg,,Public domain,
coll010,frauengruber2.jpg,,,Illustration n Andersen's Märchen II,"Wacik, Franz",,Ilustration of Ein kleiner Knabe und ein kleines Mädchen,,,,,"v. 25, p. 7",https://hdl.handle.net/2027/gri.ark:/13960/t26b3xf56?urlappend=%3Bseq=9,Image;StillImage,image/jpeg,,Public domain,
coll011,gerlach_poster.jpg,,,Advertisement,,,Advertisement,,,,,,,Image;StillImage,image/jpeg,,Public domain,
coll012,gerlach_series.pdf,,,List of volumes,,,List of volumes with illustrators and first publication dates.,,,,,,,Text,application/pdf,,,
coll013,gerlach_set.jpg,,,Picture of the 34 volume set,,,Picture of the 34 volume set,,,,,,,Image;StillImage,image/jpeg,,Public domain,
coll014,hauff.jpg,,,Illustration in Ausgewählte Märchen von Wilhelm Hauff,"Fahringer, Karl",,Illustration of Die Geschichte von Kaliff Storch,,,,,"v. 27, p. 21",https://hdl.handle.net/2027/umn.31951000896944p?urlappend=%3Bseq=25,Image;StillImage,image/jpeg,,Public domain,
coll015,loffler1.jpg,,,Ilustration in Aus des Knaben Wunderhorn,"Löffler, Berthold",,Illustration of Das buckliche Männlein,,,,,"v. 4, p. 4 ",https://hdl.handle.net/2027/gri.ark:/13960/t6452v593?urlappend=%3Bseq=8,Image;StillImage,image/jpeg,,Public domain,
coll016,loffler2.jpg,,,Ilustration in Aus des Knaben Wunderhorn,"Löffler, Berthold",,Illustration of Das Bienenlied,,,,,"v. 4, p. 9",https://hdl.handle.net/2027/gri.ark:/13960/t6452v593?urlappend=%3Bseq=13,Image;StillImage,image/jpeg,,Public domain,
coll017,loffler3.jpg,,,Ilustration in Aus des Knaben Wunderhorn,"Löffler, Berthold",,Illustration of Die ABC-Schützen,,,,,"v. 4, p. 30",https://hdl.handle.net/2027/gri.ark:/13960/t6452v593?urlappend=%3Bseq=34,Image;StillImage,image/jpeg,,Public domain,
coll018,martin_gerlach.jpg,,,Photograph of Martin Gerlach,,,Photograph of Martin Gerlach,,,,,,,Image;StillImage,image/jpeg,,Public domain,
coll019,ostereier1.jpg,,,Illustration for Die Ostereier.,"Staeger, Ferdinand",,Line drawing for Die Ostereier,,,,,"v. 33, [p. 8]",https://hdl.handle.net/2027/njp.32101067515195?urlappend=%3Bseq=16,Image;StillImage,image/jpeg,,Public domain,
coll020,ostereier2.jpg,,,Illustration for Die Ostereier.,"Staeger, Ferdinand",,Tinted drawing for Die Ostereier,,,,,"v. 33, [p. 39]",https://hdl.handle.net/2027/njp.32101067515195?urlappend=%3Bseq=48,Image;StillImage,image/jpeg,,Public domain,
coll021,schildburger1.jpg,,,Illustration for Die Schildbürger,"Liebenauer, Ernst",,Page header for Die Schildbürger ,,,,,"v. 26, p. 8 ",https://hdl.handle.net/2027/njp.32101069153359?urlappend=%3Bseq=12,Image;StillImage,image/jpeg,,Public domain,
coll022,schildburger2.jpg,,,Illustration for Die Schildbürger,"Liebenauer, Ernst",,Full page illustration for Die Schildbürger ,,,,,"v 26, p. 25",https://hdl.handle.net/2027/njp.32101069153359?urlappend=%3Bseq=29,Image;StillImage,image/jpeg,,Public domain,
coll023,staeger1.jpg,,,Cover art,"Staeger, Ferdinand",,Cover of Deutsche Gedichte mit Schattenbildern,,,,,v. 21 cover,https://hdl.handle.net/2027/gri.ark:/13960/t9m39m778?urlappend=%3Bseq=1,Image;StillImage,image/jpeg,,Public domain,
coll024,staeger2.jpg,,,Illustration in Deutsche Gedichte mit Schattenbildern,"Staeger, Ferdinand",,Illustration of Mausfallen-Sprüchlein,,,,,"v. 21, p. 15",https://hdl.handle.net/2027/gri.ark:/13960/t9m39m778?urlappend=%3Bseq=21,Image;StillImage,image/jpeg,,Public domain,
